FileName,Specification File	,Recipe Name,CalculationParameters,Correction File Name,Software_Version,Machine ID,Operator,WaferID,TEST_Number,X,Y,Timestamp,Temperature(C),Test,Mode,CurrentRange_A,VoltageLimit_V,StartValue_A,StepValue_A,StopValue_A,SweepPoints,PulseWidth_ns,Duty_%,Iop_A,PfA_A,PfB_A,PfC_A,Ith_A,SE_A,RS_A,Factor_W/A,Iop_WL_A,PulseWidth_WL_ns,Duty_WL_%,Num_Pulse_WL,IntegrationTime_WL_ms,SweepPoints_Criteria Name,SweepPoints_Min,SweepPoints_Max,Iop(A),Vop(V),Pop(W),Ipk(A),Ppk(W),Ith(A),SE(W/A),RS(Ohm),PfA(W),VfA(V),PfB(W),VfB(V),PfC(W),VfC(V),PfD(W),IfD(A),PfE(W),IfE(A),WLp(nm),WLCentroid(nm),WLc_FWHM(nm),WLc_PowTh%(nm),SW_PowTh%(nm),SW_dBTh(nm),ST(ms),INT,Pop1(W),ForceCurrent_1A,ForceCurrent_2A,ForceCurrent_3A,ForceCurrent_4A,ForceCurrent_5A,ForceCurrent_6A,ForceCurrent_7A,ForceCurrent_8A,ForceCurrent_9A,ForceCurrent_10A,MsrtVoltage_1A,MsrtVoltage_2A,MsrtVoltage_3A,MsrtVoltage_4A,MsrtVoltage_5A,MsrtVoltage_6A,MsrtVoltage_7A,MsrtVoltage_8A,MsrtVoltage_9A,MsrtVoltage_10A,OpticalPower_1A,OpticalPower_2A,OpticalPower_3A,OpticalPower_4A,OpticalPower_5A,OpticalPower_6A,OpticalPower_7A,OpticalPower_8A,OpticalPower_9A,OpticalPower_10A,Pce_1A,Pce_2A,Pce_3A,Pce_4A,Pce_5A,Pce_6A,Pce_7A,Pce_8A,Pce_9A,Pce_10A,EmitterMapping,Iop(A)_Correction_Name,Iop(A)_CF_MO,Iop(A)_Value,Vop(V)_Correction_Name,Vop(V)_CF_MO,Vop(V)_Value,Pop(W)_Correction_Name,Pop(W)_CF_MO,Pop(W)_Value,Ipk(A)_Correction_Name,Ipk(A)_CF_MO,Ipk(A)_Value,Ppk(W)_Correction_Name,Ppk(W)_CF_MO,Ppk(W)_Value,Ith(A)_Correction_Name,Ith(A)_CF_MO,Ith(A)_Value,SE(W/A)_Correction_Name,SE(W/A)_CF_MO,SE(W/A)_Value,RS(Ohm)_Correction_Name,RS(Ohm)_CF_MO,RS(Ohm)_Value,PfA(W)_Correction_Name,PfA(W)_CF_MO,PfA(W)_Value,VfA(V)_Correction_Name,VfA(V)_CF_MO,VfA(V)_Value,PfB(W)_Correction_Name,PfB(W)_CF_MO,PfB(W)_Value,VfB(V)_Correction_Name,VfB(V)_CF_MO,VfB(V)_Value,PfC(W)_Correction_Name,PfC(W)_CF_MO,PfC(W)_Value,VfC(V)_Correction_Name,VfC(V)_CF_MO,VfC(V)_Value,PfD(W)_Correction_Name,PfD(W)_CF_MO,PfD(W)_Value,PfE(W)_Correction_Name,PfE(W)_CF_MO,PfE(W)_Value,WLp(nm)_Correction_Name,WLp(nm)_CF_MO,WLp(nm)_Value,WLCentroid(nm)_Correction_Name,WLCentroid(nm)_CF_MO,WLCentroid(nm)_Value,WLc_FWHM(nm)_Correction_Name,WLc_FWHM(nm)_CF_MO,WLc_FWHM(nm)_Value,WLc_PowTh%(nm)_Correction_Name,WLc_PowTh%(nm)_CF_MO,WLc_PowTh%(nm)_Value,SW_PowTh%(nm)_Correction_Name,SW_PowTh%(nm)_CF_MO,SW_PowTh%(nm)_Value,SW_dBTh(nm)_Correction_Name,SW_dBTh(nm)_CF_MO,SW_dBTh(nm)_Value,ST(ms)_Correction_Name,ST(ms)_CF_MO,ST(ms)_Value,Pop1(W)_Correction_Name,Pop1(W)_CF_MO,Pop1(W)_Value
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,1,281,-42,2022/03/09 17:35:26.868,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.6108,33.6549,10.0000,40.8868,0.0000,0.0000,0.0000,14.1325,10.8626,22.1287,12.8561,33.6549,15.6108,5.6877,1.0000,5.6877,1.0000,906.9692,907.1873,907.1931,907.1347,2.8138,2.6722,30,2192,9.9485,-1.422875,-0.43897,0.619187,1.707552,2.634181,3.624181,4.729525,5.546842,6.615658,7.521259,8.56438890625,9.8210303125,10.8625980208333,11.945286875,12.8560921875,13.7798202083333,14.73491203125,15.61078875,16.4344742708333,17.1942686458333,5.68770001389928,9.94850982624139,14.1325321086352,18.0734221310103,22.1286726683892,26.0402569816954,30.2609273848169,33.6548627546584,37.4310183814759,40.8868423414468,66.411043171435,50.6490129328851,43.367562964006,37.8254250403056,34.4251928901146,31.4956419217861,29.3384148967714,26.9484003127792,25.3065718674512,23.7793436776126,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,2,280,-42,2022/03/09 17:35:28.049,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.5313,33.3835,10.0000,41.0553,0.0000,0.0000,0.0000,14.1588,10.8974,21.7074,12.8365,33.3835,15.5313,6.2912,1.0000,6.2912,1.0000,906.9692,907.0608,907.0662,907.0520,2.8147,2.6449,30,2157,9.9981,-1.374618,-0.437294,0.658665,1.611199,2.629196,3.66517,4.495409,5.628984,6.49987,7.583995,8.61856921875,9.7427572395833,10.89740921875,11.9081950520833,12.8364969791667,13.7743026041667,14.63642703125,15.5312877083333,16.3890946875,17.2128596761068,6.29123495165798,9.99805846611675,14.1587509714903,18.0679145788064,21.7073835846948,26.3424586312558,29.7085945421317,33.3835161849545,37.2874621894937,41.055272709348,72.9962803799403,51.3102103452614,43.3092266466689,37.9316817111705,33.8213511364126,31.8739169455147,28.9967279960387,26.8679558416803,25.2793179451706,23.8515118823265,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,3,259,-42,2022/03/09 17:35:29.432,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.7023,34.0098,10.0000,41.3256,0.0000,0.0000,0.0000,14.5137,11.0032,22.5040,12.9245,34.0098,15.7023,5.9869,1.0000,5.9869,1.0000,906.2235,906.2544,906.2741,906.2235,2.8189,2.6850,30,2267,10.2287,-1.406088,-0.410568,0.63587,1.610402,2.576882,3.594796,4.578266,5.615505,6.535795,7.553216,8.5646295833333,9.8647095833333,11.0032476041667,11.9788826041667,12.92450953125,13.8398567708333,14.83360703125,15.7022756966146,16.5507581770833,17.3513311458333,5.98685645100985,10.2287214138292,14.5137472075953,18.657343105182,22.5040099720301,26.2648086876257,30.2356229778489,34.0098483035249,37.8129769405066,41.3255715114808,69.902106013554,51.8450205118602,43.96807115413,38.9379872098677,34.8237740358625,31.6294322050322,29.1188427873384,27.0739803585106,25.38519285537,23.8169458954765,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,4,258,-42,2022/03/09 17:35:30.608,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.6627,34.4672,10.0000,41.5838,0.0000,0.0000,0.0000,14.5358,10.9379,22.4989,12.8713,34.4672,15.6627,6.3509,1.0000,6.3509,1.0000,906.2235,906.2570,906.2809,906.2235,2.8189,2.6871,30,2255,10.2320,-1.32689,-0.386288,0.650577,1.631004,2.581707,3.610319,4.574867,5.675074,6.493287,7.559312,8.5821413020833,9.78535734375,10.9379341145833,11.92199375,12.8712740625,13.8521643229167,14.7114783333333,15.6627307291667,16.4541461482747,17.2492070833333,6.35086639701311,10.2320298111438,14.5358398670583,18.5004789779336,22.4988533329793,26.5335888331657,30.5516916446493,34.467202914049,37.9964898596299,41.5838361577798,74.0009535320917,52.2823513322134,44.2979442454859,38.7948512763094,34.95979220663,31.9247209492853,29.6674968953861,27.5073385270752,25.6581664498478,24.1076798237059,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,5,237,-42,2022/03/09 17:35:31.977,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.5580,34.6506,10.0000,41.8723,0.0000,0.0000,0.0000,14.4995,10.8736,22.5150,12.8634,34.6506,15.5580,6.2502,1.0000,6.2502,1.0000,905.8918,905.9203,905.9394,905.8918,2.8206,2.6745,30,2264,10.3731,-1.408095,-0.383547,0.542818,1.571493,2.68432,3.55529,4.560063,5.56036,6.541544,7.641513,8.5527605208333,9.79441359375,10.87357359375,11.8632469791667,12.8633965625,13.7550338020833,14.6739165625,15.55801828125,16.3772382291667,17.2914027083333,6.2502242072346,10.3730567519654,14.4995486071641,18.165966553698,22.5150310241187,26.5679128977121,30.195895445508,34.6505877489415,37.9101724493967,41.8723492205177,73.0784428256813,52.953944882339,44.4488909500069,38.2820289116454,35.0063545265419,32.1917455577708,29.3970551828145,27.8398147522275,25.7200959302442,24.2157041431566,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,6,236,-42,2022/03/09 17:35:33.184,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.5681,34.5520,10.0000,41.6322,0.0000,0.0000,0.0000,14.4802,10.8998,22.5353,12.8558,34.5520,15.5681,6.3221,1.0000,6.3221,1.0000,905.8918,905.9496,905.9596,905.8918,2.7375,2.6896,30,2258,10.3004,-1.379131,-0.373038,0.650979,1.657516,2.690573,3.590703,4.656311,5.639314,6.553889,7.542747,8.5249130208333,9.8110169791667,10.8998177604167,11.9008461458333,12.8558114583333,13.74094859375,14.6620946875,15.5680796354167,16.3838816666667,17.14940546875,6.32213463911871,10.3004132684519,14.4801859330815,18.6574159642691,22.5352754418456,26.8505124790474,30.5654739074408,34.5519707443963,37.8203907243322,41.6322175653443,74.1606937650694,52.4941160041024,44.282654540235,39.1934651865099,35.0585033311731,32.5675144087944,29.7808489547824,27.7426403525327,25.6487792180927,24.276187090688,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,7,215,-42,2022/03/09 17:35:34.545,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.6749,34.2001,10.0000,41.7281,0.0000,0.0000,0.0000,14.2916,10.9314,22.6599,12.9488,34.2001,15.6749,6.1062,1.0000,6.1062,1.0000,905.7258,905.7895,905.7994,905.8088,2.8210,2.7147,30,2198,10.5416,-1.399254,-0.41071,0.623067,1.746997,2.635218,3.598593,4.61851,5.64372,6.538027,7.608826,8.5116319791667,9.7939188541667,10.9314491145833,11.9831536979167,12.9488468229167,13.8388271354167,14.7612661458333,15.6749091145833,16.44269921875,17.339730625,6.10620558308852,10.5416422706897,14.2915626785302,18.8568431805686,22.6598852973846,26.1980236694699,30.451091088635,34.2000613545051,37.9918103128464,41.7281343229129,71.7395394682739,53.817284110971,43.5793477721213,39.3403181998887,34.9990784620008,31.5513535613906,29.4700727351422,27.2729343313119,25.6728667284096,24.0650418540818,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,8,214,-42,2022/03/09 17:35:35.716,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.6189,34.2498,10.0000,42.0615,0.0000,0.0000,0.0000,14.6607,10.9050,22.4833,12.9156,34.2498,15.6189,6.3052,1.0000,6.3052,1.0000,905.5598,905.7041,905.7303,905.7258,2.9047,2.7035,30,2232,9.9298,-1.329962,-0.428339,0.651708,1.712182,2.649085,3.61884,4.553981,5.527594,6.569566,7.643037,8.62397203125,9.84429921875,10.9049968229167,11.9787769482422,12.91555234375,13.8674955729167,14.7081998958333,15.6189496354167,16.46562015625,17.3428741666667,6.30519861870652,9.92976719785727,14.6607143943826,18.5228467873194,22.483286766018,26.5582910374764,30.3424299385335,34.2497676079156,38.0360714646989,42.0615419654836,73.1124659943107,50.4340988485218,44.8134454093354,38.6576335533937,34.8158346892504,31.9191148560678,29.4708589702394,27.4104280436476,25.6669965822097,24.2529246082674,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,9,193,-42,2022/03/09 17:35:37.075,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.5569,34.3950,10.0000,41.8788,0.0000,0.0000,0.0000,14.7328,10.8888,22.5315,12.8844,34.3950,15.5569,6.2313,1.0000,6.2313,1.0000,905.6428,905.6860,905.7101,905.6428,2.8219,2.6602,30,2226,10.1877,-1.376647,-0.357358,0.682544,1.690611,2.654594,3.563479,4.646369,5.59177,6.603777,7.583623,8.5103244791667,9.75826796875,10.88883890625,11.9103024479167,12.88444203125,13.7302070833333,14.6704035416667,15.5569148958333,16.3828793229167,17.22680546875,6.23129868767365,10.1877285124475,14.7327735182805,18.6973115185858,22.5315179946478,26.5864830433595,30.5901240695468,34.3950382188212,38.1654335170103,41.8787831239702,73.2204594892696,52.2004957492088,45.1005341191586,39.2460888385254,34.9747671494035,32.2724958213146,29.7879858029079,27.636454953573,25.8843615980276,24.3102432426834,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
WD098-008-05_2inch_0309_90-03_0C__LIV_Summary_Log220309173455,Awei_Spec,Awei,Awei_CalcParam,Awei_Correction,Ver 1.03.03.02T-P15,MJT-01,5566,WD098-008-05_2inch_0309_90-03,10,192,-42,2022/03/09 17:35:38.251,0.0,LIV_WL,PULSE,30,25,1,1,10,10,100,0.1,8,3,5,8,0.004~0.008,0.004~0.008,0.004~0.008,5709.7733434,8,100,0.1,100,30,SweepPoints,1,10,8.0000,15.6265,34.4220,10.0000,41.9208,0.0000,0.0000,0.0000,14.6084,10.8628,22.4225,12.8367,34.4220,15.6265,6.2759,1.0000,6.2759,1.0000,905.6428,905.6955,905.7133,905.6428,2.8219,2.6777,30,2261,10.4079,-1.328481,-0.514094,0.611404,1.698353,2.673511,3.561135,4.583891,5.579853,6.529439,7.62857,8.5690747916667,9.7869159375,10.8628402083333,11.9557353645833,12.836705625,13.7658203645833,14.6805933333333,15.62645671875,16.4666903125,17.2812679166667,6.27589439655802,10.4079488200061,14.6083629100403,18.7962883578056,22.4224851145113,26.2280341786858,30.4901376115512,34.4219589079833,38.1868868008116,41.9208451209334,73.2388799157318,53.1727711082431,44.8267139160459,39.3039152018332,34.9349525798,31.7550201441503,29.6700129593354,27.535000038333,25.7670930939384,24.2579684101208,,Iop(A),+,0.0000,Vop(V),+,0.0000,Pop(W),*,1.0000,Ipk(A),+,0.0000,Ppk(W),+,0.0000,Ith(A),+,0.0000,SE(W/A),*,1.0000,RS(Ohm),+,0.0000,PfA(W),*,1.0000,VfA(V),+,0.0000,PfB(W),*,1.0000,VfB(V),+,0.0000,PfC(W),*,1.0000,VfC(V),+,0.0000,PfD(W),*,1.0000,PfE(W),*,1.0000,WLp(nm),+,0.0000,WLCentroid(nm),+,0.0000,WLc_FWHM(nm),+,0.0000,WLc_PowTh%(nm),+,0.0000,SW_PowTh%(nm),+,0.0000,SW_dBTh(nm),+,0.0000,ST(ms),+,0.0000,Pop1(W),*,1.0000
